,Grass Coverage,Herbivore Population,Predator Population
385,28.234375,0,181
386,28.484375,0,178
387,28.84375,0,174
388,29.15625,0,172
389,29.328125,0,170
390,29.671874999999996,0,168
391,30.062499999999996,0,166
392,30.40625,0,165
393,30.593749999999996,0,161
394,30.828125,0,159
395,31.093749999999996,0,154
396,31.406250000000004,0,154
397,31.546875000000004,0,147
398,31.796875000000004,0,145
399,32.109375,0,141
400,32.34375,0,139
401,32.640625,0,135
402,32.890625,0,129
403,33.0625,0,127
404,33.375,0,123
405,33.625,0,120
406,33.96875,0,117
407,34.296875,0,115
408,34.609375,0,115
409,34.90625,0,114
410,35.15625,0,110
411,35.484375,0,108
412,35.703125,0,105
413,35.90625,0,104
414,36.171875,0,102
415,36.421875,0,98
416,36.609375,0,96
417,36.78125,0,95
418,37.0625,0,93
419,37.296875,0,90
420,37.53125,0,89
421,37.75,0,88
422,37.953125,0,87
423,38.234375,0,86
424,38.453125,0,83
425,38.796875,0,81
426,39.15625,0,80
427,39.453125,0,79
428,39.640625,0,77
429,39.875,0,77
430,40.046875,0,74
431,40.328125,0,72
432,40.65625,0,71
